"section","file","path","obtenerDatos","localStorage","sessionStorage","setTimeout","subscribe","rxjsSubject","legacyWord","datosWord"
"10","seccion10-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion10\seccion10-form.component.ts","0","0","0","0","4","0","0","38"
"10","seccion10-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion10\seccion10-view.component.ts","0","0","0","0","0","0","0","32"
"11","seccion11-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion11\seccion11-constants.ts","0","0","0","0","0","0","0","0"
"11","seccion11-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion11\seccion11-form.component.ts","0","0","0","0","0","0","0","22"
"11","seccion11-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion11\seccion11-view.component.ts","0","0","0","0","0","0","0","3"
"12","seccion12-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion12\seccion12-constants.ts","0","0","0","0","0","0","0","0"
"12","seccion12-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion12\seccion12-form.component.ts","0","0","0","0","0","0","0","35"
"12","seccion12-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion12\seccion12-view.component.ts","1","0","0","0","0","0","2","3"
"13","seccion13-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion13\seccion13-constants.ts","0","0","0","0","0","0","0","1"
"13","seccion13-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion13\seccion13-form.component.ts","0","0","0","0","1","0","0","44"
"13","seccion13-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion13\seccion13-view.component.ts","0","0","0","0","0","0","0","2"
"14","seccion14-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion14\seccion14-constants.ts","0","0","0","0","0","0","1","2"
"14","seccion14-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion14\seccion14-form.component.ts","0","0","0","0","2","0","0","38"
"14","seccion14-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion14\seccion14-view.component.ts","1","0","0","0","0","0","0","16"
"15","seccion15-constants.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion15\seccion15-constants.ts","0","0","0","0","0","0","0","3"
"15","seccion15-form.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion15\seccion15-form.component.ts","0","0","0","0","2","0","0","19"
"15","seccion15-view.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\seccion15\seccion15-view.component.ts","0","0","0","0","0","0","0","0"
